Sujeto,Tiempo,Trat,Y
1,1,T1,16
2,1,T1,12
3,1,T1,12
4,1,T1,15
5,1,T1,18
6,1,T1,13
7,1,T1,18
8,1,T1,15
9,1,T1,20
1,2,T2,8
2,2,T2,9
3,2,T2,10
4,2,T2,13
5,2,T2,12
6,2,T2,13
7,2,T2,16
8,2,T2,9
9,2,T2,9
1,3,T3,8
2,3,T3,9
3,3,T3,10
4,3,T3,7
5,3,T3,12
6,3,T3,8
7,3,T3,10
8,3,T3,6
9,3,T3,11
1,4,T4,12
2,4,T4,10
3,4,T4,8
4,4,T4,11
5,4,T4,12
6,4,T4,10
7,4,T4,13
8,4,T4,6
9,4,T4,8
